,0,1,2
0,181,230,0
1,197,216,0
2,214,232,0
3,246,236,0
4,241,218,0
5,232,203,0
6,221,183,0
7,201,183,0
8,179,190,0
9,161,221,0
10,163,243,0
11,173,250,0
12,207,260,0
13,229,275,0
14,229,275,0
15,251,260,0
16,262,213,0
17,255,179,0
18,232,160,0
19,209,153,0
20,188,154,0
21,168,175,0
22,143,206,0
23,143,236,0
24,159,272,0
25,184,283,0
26,215,294,0
27,266,300,0
28,275,267,0
29,283,222,0
30,283,192,0
31,285,151,0
32,270,136,0
33,247,291,0
34,231,247,0
35,193,244,0
36,182,267,0
37,168,287,0
38,132,257,0
39,131,187,0
40,152,153,0
41,180,144,0
42,211,132,0
43,228,137,0
44,253,143,0
45,274,156,0
46,121,227,0
47,135,274,0
48,145,296,0
49,152,307,0
50,166,317,0
51,201,331,0
52,223,335,0
53,254,330,0
54,270,323,0
55,286,310,0
56,291,296,0
57,297,279,0
58,302,251,0
59,305,222,0
60,307,176,0
61,302,200,0
62,302,164,0
63,244,121,0
64,210,121,0
65,188,123,0
66,148,135,0
67,116,163,0
68,115,193,0
69,109,230,0
70,188,303,0
71,208,309,0
72,234,317,0
73,281,242,0
74,215,200,0
75,155,188,0
76,115,253,0
77,126,282,0
78,133,302,0
79,152,322,0
80,170,334,0
81,189,346,0
82,214,350,0
83,248,350,0
84,278,345,0
85,287,331,0
86,297,309,0
87,303,285,0
88,317,249,0
89,322,207,0
90,122,107,1
91,142,103,1
92,164,92,1
93,190,84,1
94,223,76,1
95,247,73,1
96,267,82,1
97,299,101,1
98,333,129,1
99,341,143,1
100,353,176,1
101,320,111,1
102,359,197,1
103,359,228,1
104,361,255,1
105,361,295,1
106,341,332,1
107,332,353,1
108,300,374,1
109,269,385,1
110,248,390,1
111,204,396,1
112,171,390,1
113,137,374,1
114,100,329,1
115,90,295,1
116,84,271,1
117,81,243,1
118,83,206,1
119,87,171,1
120,90,129,1
121,101,113,1
122,128,78,1
123,162,64,1
124,194,58,1
125,227,52,1
126,263,52,1
127,283,54,1
128,309,61,1
129,333,74,1
130,350,97,1
131,332,84,1
132,308,77,1
133,277,40,1
134,240,27,1
135,175,6,1
136,195,21,1
137,170,31,1
138,129,45,1
139,115,56,1
140,95,82,1
141,72,105,1
142,72,145,1
143,58,170,1
144,53,200,1
145,53,246,1
146,59,219,1
147,68,190,1
148,67,133,1
149,76,56,1
150,65,78,1
151,52,103,1
152,44,157,1
153,37,254,1
154,38,322,1
155,65,362,1
156,98,373,1
157,96,399,1
158,164,427,1
159,224,422,1
160,289,431,1
161,325,404,1
162,362,370,1
163,413,302,1
164,417,227,1
165,446,183,1
166,456,143,1
167,437,113,1
168,421,112,1
169,391,113,1
170,391,137,1
171,379,114,1
172,394,92,1
173,365,61,1
174,336,43,1
175,421,143,1
176,394,185,1
177,394,241,1
178,443,294,1
179,391,314,1
180,374,331,1
181,399,363,1
182,399,255,1
183,402,269,1
184,443,245,1
185,405,219,1
186,425,174,1
187,383,163,1
188,363,179,1
189,362,231,1
190,352,281,1
191,327,325,1
192,323,363,1
193,309,401,1
194,263,425,1
195,229,461,1
196,201,453,1
197,148,421,1
198,114,419,1
199,153,408,1
200,187,426,1
201,63,327,1
202,61,293,1
203,47,287,1
204,32,193,1
205,41,131,1
206,105,33,1
207,143,20,1
208,286,21,1
209,229,12,1
210,391,49,1
211,417,79,1
212,420,269,1
213,430,322,1
214,425,363,1
215,419,392,1
216,401,409,1
217,371,415,1
218,386,381,1
219,307,460,1
220,335,432,1
221,260,451,1
222,254,470,1
223,185,484,1
224,156,464,1
225,134,452,1
226,130,391,1
227,70,383,1
228,37,387,1
229,37,351,1
230,28,297,1
231,27,227,1
232,27,167,1
233,61,400,1
234,88,434,1
235,110,456,1
236,363,445,1
237,351,390,1
238,406,335,1
239,385,213,1
240,458,202,1
241,432,204,1
242,351,312,1
243,116,352,1
244,131,357,1
245,105,309,1
246,407,441,1
247,349,477,1
248,302,477,1
249,290,479,1
250,261,488,1
251,228,487,1
252,366,95,1
253,362,135,1
254,301,41,1
255,340,169,1
256,356,157,1
